Juan Fernando Quintero
Curt Flood
Yannick Carter
Chin-hui Tsao
Constantinos Makrides
John Reaves
Von Miller
Jussi Markkanen
Bert Jones
Angelo Palombo
Ken Gunn
Darren Daulton
Fred Thurston
Mule Haas
John Huarte
Jeff Kemp
Trent Green
Karim Abdul Razak
Domenico Morfeo
Bruce Gradkowski
Garba Lawal
Percy Snow
Kelly Stouffer
Gary Gardner
Nolan Schaefer
Roger Staubach
Kevin Kolb
Martin Ericsson
Connor Cook
Daniel Royer
Erin Henderson
Darren Murphy
Yannick Cahuzac
Darren Currie
Joe Pisarcik
Johan Holmqvist
Fabio Pecchia
Dan LeFevour
Saleem Rasheed
Zito
CC Sabathia
Marco Verratti
Scot Brantley
Massimo Ficcadenti
Riccardo Maspero
Johnny Baldwin
Fernando De Napoli
Mesut Bakkal
Rick Mirer
Zac Robinson
Jason Puncheon
Jay Bruce
Lyndon Andrews
Ichiro Suzuki
Glenn Hall
Kim Vilfort
Stefano Fiore
Chico Resch
Bong Jung-keun
Christian Noboa
Thomas von Heesen
Randall Cunningham
Evan Dimas Darmono
Mark Herrmann
Khaseem Greene
Mike Trout
Shane Greene
Kevin Weekes
Jason Trusnik
Dave Winfield
Jim Zorn
Eugen Polanski
Daniele Franceschini
Rasmus Lindgren
Luca Vigiani
Fabio Capello
John Elway
Casey Weldon
Paulo Almeida
Josh Gibson
Magdi Abdelghani
Mike Teel
Marc Crosas
Giuseppe Baresi
Ulrich Le Pen
Charlie Gardiner
Calum Chambers
Sean Glennon
Luis del Sol
Vince Coleman
Marc Lamothe
Manuel Ruiz Sosa
Drew Storen
Graeme Souness
Warren Sapp
Manny Ramirez
Drew Henson
Nigel de Jong
Pat Haden
Mason Foster
Diego Fuser
Wesley Lopes Beltrame
Marquis Cooper
Oscar Albuquerque
Claudio Marchisio
Bettina Wiegmann
O'Brien Schofield
Jean Luciano
May Mahlangu
Giuseppe Dossena
Francis Coquelin
Rufus Alexander
Todd Blackledge
Bob Meusel
Dan LaCosta
Teddy Bridgewater
Angelos Basinas
Juan Joseph
Stan Gelbaugh
Eric Kresser
Youssouf Mulumbu
Bob John
Jim Bagby, Sr.
Wesley Sneijder
Davide Biondini
Anders Limpar
Darren Fletcher
Mohammed Noor
Clint Benedict
Thomas Greiss
Augustine Azuka Okocha
Mathieu Flamini
Enrico Cucchi
Lavonte David
Zico
Atlee Hammaker
John Grabow
Pirri
Rene Tosoni
Bob Essensa
Massimiliano Allegri
Scott Dreisbach
Johnny Vander Meer
Tim Hiller
Massimo Murdocca
Casey Matthews
Roy Halladay
Tim Hasselbeck
Clete Thomas
Scott Sinclair
Allan Bester
Mark Bresciano
Jordon Dizon
Eugene Lockhart
Fabian Ernst
Dean Furman
Alex Teixeira
Tom Ramsey
Grant Fuhr
Brian Hayward
Steve Castle
Raffaele Palladino
Bryan Robson
Gaetano D'Agostino
Christy Mathewson
Xavier Margairaz
Josh McCown
Marty Schottenheimer
Hatem Ben Arfa
Lee Sharpe
Graham Dorrans
Michael Laudrup
Mikhail Shtalenkov
Curtis McElhinney
Rivaldo
Philip Rivers
Benito Santiago
Kris Griffin
Pascal Feindouno
Nolan Ryan
Miguel Batista
Guy Moussi
Josh Beckett
Giovanni Stroppa
Miralem Sulejmani
Mehdi Taouil
Mike Richter
Thomas Pinault
Johan Arneng
Murray Bannerman
Vadis Odjidja-Ofoe
Colby Cameron
Otis Wilson
Stephen McGee
Giuliano Victor de Paula
Diogo Ferreira
Ryan Fraser
Agostino Di Bartolomei
Kalu Uche
David Aebischer
Russell Bromage
Alfie Moore
Lee Roy Jordan
Jeff Rutledge
Philip Hellquist
Caleb TerBush
Arben Minga
Dewey Selmon
Frederik Andersen
Jim Edmonds
Ryan Lindley
Ron Jaworski
Dennis Franklin
Logan Verrett
Antonio Candreva
Gilles Mayer
Bob Griese
Bob Mason
Shawn Crable
Craig Erickson
Carlos Manuel
Walter Johnson
David Beckham
Ali Karimi
Massimiliano Cappioli
Kyle Boller
Andrea Orlandi
Gareth Barry
Kyle Farnsworth
Abner Dalrymple
Daunte Culpepper
Greg Lloyd, Sr.
Bill Ranford
Frank Pietrangelo
Jewel Raja
Antonio Cabrini
Paul Justin
Marcelo Mattos
Joe Paterno
Dan McGwire
Danny Trevathan
Dan Bouchard
Pablo Cepellini
Woodrow Dantzler
Thierry Omeyer
Craig Breslow
Mike Garcia
Andrew Walter
Damon Allen
Gary Cuozzo
Kevin Craft
Ryan Mallett
Mo Lewis
Ray Emery
Jake Rudock
Jeff Ulbrich
Georgios Fotakis
Ernesto Lazzatti
Browning Nagle
Mark Kinsella
Robert Marve
Otto Graham
Ross Barkley
Ricardo Faty
Vicente Engonga
Javier Espinosa
Éric Djemba-Djemba
Andre Tippett
Heath Shuler
Matt Chatham
Vernon Wells
Dennis Shaw
Alex Smith
Gary Danielson
Shane Matthews
Garrett Gilbert
Francisco Lima
Drew Brees
Michel Plasse
Milt Plum
Michel Larocque
Alexi Ogando
Braden Holtby
Derrick Thomas
Tim Borowski
Kerlon Moura Souza
Axel Witsel
Joel Obi
Datsakorn Thonglao
Braden Looper
Derek Lowe
Kiki Cuyler
Dick Wood
Christoph Kramer
John Smoltz
Tarvaris Jackson
Zeke Bratkowski
Ricardo Villa
Brian Bosworth
Scott Allan
Javid Imamverdiyev
Adam Weber
Jesse Marsch
Mohd Noor Ali
Bakary Sako
Robert Esche
Quinn Gray
Chip Banks
Rich Ingold
Brian Cushing
Sinuhe Wallinheimo
Alwyn George
John Stofa
Johan Santana
Dan Fouts
Angelo Di Livio
Kari Lehtonen
Guilherme Finkler
Sean Burke
Nils Liedholm
Ivan Gudelj
Boof Bonser
Arnie Herber
Roy Sproson
Eugeneson Lyngdoh
Vern Law
David Rocastle
Mario Lessard
Bob Lemon
Aaron Rodgers
Poon Yiu Cheuk
Gary Hogeboom
Francesco Bolzoni
Kiko Alonso
Isaiah Osbourne
Andrew Jacobson
Pietro Fanna
Ronnie Ekelund
Buck Martinez
Ray Nitschke
Joe Ferguson
Johan Gastien
Alessio Tacchinardi
Vincent Laban
Miguel Marcos Madera
Selim Benachour
Jim Hardy
Lerin Duarte
Mike Stratton
Mika Noronen
Glenn Roeder
Ilsinho
Bobby Garrett
Enos Slaughter
Dan Morgan
Jordan Gross
Sylvain Legwinski
Youssouf Hersi
Keith Peacock
Sam LoPresti
Wade Dubielewicz
Erik Komatsu
Roger Clemens
Ryan Shazier
Ryan Miller
Carson Coffman
Jack Balmer
Barry Zito
Kirk Rueter
Kevin Kampl
Adnan Januzaj
Ryan Leaf
Don McPherson
Bill Bergey
Jock Stein
Flemming Nielsen
Ben Mauk
Reto Berra
Paolo Sammarco
Tedy Bruschi
Seth Maness
Amiran Mujiri
Terna Nande
Jason Jennings
Juan Pablo Galavis
Bill Kenney
Ross Verba
Bruno Conti
Carlos Alberto Alves Garcia
Kendrell Bell
Joe Torre
Ernie Whitt
Matt Szczur
Henrik Lundqvist
Ali Jabbari
Robert Prytz
Faysal Shayesteh
Travis Lulay
Gary Stills
Daniel Berg Hestad
Tommy John
Sebastian Rode
Mojtaba Jabbari
Marcus Randall
Nate Robertson
Robert Griffin III
Don Trull
Brandon Jenkins (football player)
Jiloan Hamad
Mikel Alonso
Dick Radatz
Faris Haroun
Daniele Dessena
Kingsley Coman
Shamweel Qasim
Jonathan Santana
Josip Skoko
Jacob Mellis
Giuliano Giannichedda
Konstantin Vassiljev
Edmondo Fabbri
Kevin Lalande
Damon Huard
Johnny Lujack
Jonathan Quinn
Jonathan Osorio
Almen Abdi
Duncan Edwards
Santi Cazorla
Les Horvath
Eusebio Castigliano
Tony Conigliaro
Emiljano Vila
Andreas Ivanschitz
Hughie Lehman
Luke O'Brien
Ervin Bulku
Pascal Leclaire
Damien Plessis
Cory Schneider
Teddy Lehman
Kieran Millan
Tyler Moss
Jamal Mahmoud
Ben Roethlisberger
Dany N'Guessan
Miguel Jones
Greg Maddux
Joe Magrane
Manny Mota
Brent Krahn
Viktor Fasth
Jocelyn Thibault
Doriva
Mariano Rivera
Jonathan Greening
Conor Thomas
Michel Platini
Tommie Frazier
Joel Stave
Luke Chadwick
Cody Pickett
Pia Wunderlich
Jerry Sisemore
Serhiy Kovalets
Marc Overmars
Brian Maisonneuve
Anderson Luís de Abreu Oliveira
Steven Nzonzi
Horace Fairhurst
Jorge Luis Pinto
Michael Boley
Randall Azofeifa
Mike Veisor
Mike Piazza
Craig Monroe
Oliver Makor
Frankie Albert
Don Larsen
Jean Prouff
Brian Boucher
Ricardo Gallego
Sean Salisbury
Kailee Wong
Archie Manning
Jonathan Lucroy
Gustavo Barros Schelotto
Florin Cernat
John Navarre
Juan Cuadrado
Jone Samuelsen
Glenn Foley
Frank Lampard
Antti Raanta
Marques Tuiasosopo
Arthur Milton
Carey Price
Beniamino Vignola
Selim Bouadla
Lamberto Zauli
Jonathan Quick
Rodney Strasser
Birkir Bjarnason
Conan Byrne
Ray Houghton
Bryan Holaday
Tuukka Rask
Al Dekdebrun
George Mihai Florescu
Zinedine Zidane
Kostas Katsouranis
Devan Dubnyk
Fabio Celestini
Jamie Winborn
Marat Izmailov
Andy Moog
Jesper Olsen
Massimiliano Esposito
Robbie Earle
Mark Fitzpatrick
Lalrindika Ralte
Tommy Harper
Giovanni Tedesco
JD Closser
Moise Fokou
Tim Tebow
Bobby Hebert
Rory Delap
Odise Roshi
David Batty
Bob Allison
Kyle Orton
Nick Greisen
Pietro Maiellaro
Giacomo Tedesco
Jacques Cloutier
Paulo Henrique Ganso
Thomas McCollum
Ruud Gullit
Angelo Orlando
Johan Hedberg
Sean Payton
Hong-Chih Kuo
Henk ten Cate
Mike Tomczak
Manti Te'o
Tobias Grahn
Jorge Luis Campos
Tommy Kramer
Martin Coleman
Antonino D'Agostino
Dontrelle Willis
Luke Vercollone
Alex Auld
Panagiotis Kone
Anthony Maggiacomo
Tim Raines
Pep Guardiola
Chuck Fusina
Jim Plunkett
Vesa Toskala
Jessie Tuggle
Martin Brodeur
Yannick Bapupa
Mike Hampton
Gabriel Heinze
Steve DeOssie
Mike Vernon
Mike Holmgren
Emanuele Giaccherini
Tom Flores
Egil Olsen
Gabriele Oriali
Travis Blackley
Abou Diaby
Jeff Francis
Gilles Villemure
Michael Conforto
Aaron Murray
Scott Milanovich
Marcelo Nascimento da Costa
Don Cardwell
Andrew Luck
Fernando Soriano
David Mendes da Silva
Kerry Zavagnin
Geoff Bent
Greg Stefan
Nordin Amrabat
Brian Labone
Todd Helton
Rudy Carpenter
Yohan Cabaye
Elrio van Heerden
Mike Liut
Nelson Cruz
Maniche
Stephone Anthony
Jean Makoun
Tiago Mendes
Connor Halliday
Trevor Kidd
Shane Boyd
Chase Clement
Ludovic Sylvestre
Jacques Plante
Ivo Wortmann
Damiano Tommasi
Hugh Millen
Steve Passmore
Cory Wade
Alex Stalock
Shane Ray
Scott Fankhouser
Antonio Valencia
Diniyar Bilyaletdinov
Mark McKeever
Lee Bell
Jean-Pierre Roy
Renato Buso
Giuseppe Furino
Carlos Alberto Torres
Runar Berg
Dave Ragone
Jim Magilton
Joel Zumaya
LaMarr Woodley
Karl Goehring
John Harkes
Nilton Fernandes
Jaroslav Janus
Mark Malone
Luke French
Quentin Groves
Garrincha
Willie McFaul
Jocelyn Gourvennec
Steve McNair
Angelo Colombo
McDonald Mariga
Jim Kelly
Leon Day
Martin Kuhl
John Brantley
Luca Danilo Fusi
Rinku Singh
Bryan Hughes
Schellas Hyndman
Jim Sorgi
Bobby Layne
Paulo Bento
Luis Tiant
Kurt Warner
Chandler Harnish
Joe Kapp
Vegard Skogheim
Troy Aikman
Carlos Rodon
Ty Detmer
Virgil Carter
Garret Anderson
Juan Rodrigo Rojas
David Degen
Vladislav Tretiak
Matt Flynn
Drake Britton
Emanuele Filippini
Wolfram Wuttke
Jessica Vetter
Pat Corrales
Sergio Canales Madrazo
Karl Mecklenburg
Frank Watkin
Pelle Lindbergh
Joanna Lohman
Mike Scioscia
Erik Ersberg
Joey Gathright
Marvin Mitchell
Ju Yingzhi
Peter Tom Willis
Jamie Storr
Tsuyoshi Shinjo
Akin Ayodele
Koke
Rich Gannon
Francisco Cervelli
Jim Bouton
Dan Alexa
Lorenzo Crisetig
Victor Sikora
Vincenzo Italiano
Todd Marinovich
Pekka Rinne
Marc Cheverie
Yasmani Grandal
Eusebio Di Francesco
Carlos Humberto Paredes
Dont'a Hightower
Andrico Hines
Jon Casey
Miguel Montero
Eddie Giacomin
Jonathan Urretaviscaya
Brad Wilkerson
Mohd Amirul Hadi Zainal
Landon Johnson
Michael Leighton
Kevin Eakin
Victor Wanyama
Mark Sanchez
Corey Moore
Don Horn
Tarek Yehia
Rodney Sneijder
Jelani Jenkins
Ray Lewis
Pud Galvin
Elvis Grbac
Geoffrey Kondogbia
Lars Bender
Joe Theismann
Scott Darling
Corey Patterson
Juninho Paulista
Erik Kramer
Cullen Finnerty
Doug Buffone
Graham Barrow
Steve Grogan
Lonnie Smith
Mehdi Abeid
Norm Snead
Gary Kubiak
Jeff Deslauriers
Henry Burris
Jonas Mouton
Davide Fontolan
Jerod Mayo
Suat Kaya
Gale Gilbert
Jon-Paul McGovern
Ty Conklin
Tyler Palko
Rick Monday
Patrick Roy
Tommy Taylor
Garry Unger
Antonio Comi
Jean-Paul Kalala
Candy Cummings
Rusney Castillo
Simon Rolfes
Gianluca Gaudino
Steve Valiquette
Chad Hutchinson
Francisco Liriano
Charlie Robertson
Ryan Harley
DeWayne Wise
Eli Whiteside
Wayne Corden
Jonathan Goff
Brad Van Pelt
Brian Bogusevic
Fred Lynn
Steve Barber
Jeffrey Monakana
Corky Miller
Don Meredith
Dan Conners
Earl Morrall
Romuald Boco
Pantelis Kafes
Brent Johnson
Wilber Marshall
Ted McMinn
Sam Crawford
Karim El Ahmadi
Corey Hirsch
Tommy Docherty
Paulo Sousa
Carlos Valderrama
Greg Buttle
Abdel Sattar Sabry
Randy Gradishar
Ricky Stanzi
Kamohelo Mokotjo
Kevin Siegrist
Jim Hart
Junior Stanislas
Giancarlo Marocchi
Marco Tardelli
Alessio Cerci
Koki Mizuno
Collette McCallum
Chan Ho Park
Paul Harsley
Jordan Norberto
Esteban Vigo
Drew Stanton
Gaizka Garitano Aguirre
Brian Steen Nielsen
Pablo de Lucas
Ryan Giggs
Marcus Marek
Joe Montana
Angelo Crowell
Leung Tsz Chun
Milton Blanco
Iosif Rotariu
Matt Keetley
Pontus Wernbloom
Rick Ankiel
Marc Fitzpatrick
Lou Saban
Gilles Meloche
Trey DePriest
Ioan Lupescu
Darcy Kuemper
Daniel Gygax
Fabian Frei
Joe Nuxhall
Renato Augusto
Matt Holland
Bobby Bell
Gus Poyet
Kenny Demens
Lars Ricken
Darrin Fletcher
Felix Magath
Jason Campbell
Thomas "Hollywood" Henderson
Isaac Cuenca
Markus Halsti
Anthony Obodai
Pat Swilling
Ubaldo Righetti
Kerry Collins
Chuck Howley
Johnny Unitas
Ken O'Brien
Toumani Diagouraga
Barry Bannan
Gary Beban
